Timestamp,Location,Occupancy Level
2025-02-28 04:00:00,San Luis Lounge,4%
2025-02-28 04:30:00,Lower Exercise Room,0%
2025-02-28 04:30:00,Upper Exercise Room,0%
2025-02-28 04:30:00,Track Exercise Room,4%
2025-02-28 04:30:00,Open Space,1%
2025-02-28 04:30:00,Chandler Lounge,0%
2025-02-28 04:30:00,San Luis Lounge,3%
2025-02-28 04:45:00,Lower Exercise Room,0%
2025-02-28 04:45:00,Upper Exercise Room,0%
2025-02-28 04:45:00,Track Exercise Room,4%
2025-02-28 04:45:00,Open Space,0%
2025-02-28 04:45:00,Chandler Lounge,0%
2025-02-28 04:45:00,San Luis Lounge,0%
2025-02-28 05:00:00,Lower Exercise Room,0%
2025-02-28 05:00:00,Upper Exercise Room,0%
2025-02-28 05:00:00,Track Exercise Room,2%
2025-02-28 05:00:00,Open Space,1%
2025-02-28 05:00:00,Chandler Lounge,0%
2025-02-28 05:00:00,San Luis Lounge,0%
2025-02-28 05:45:00,Lower Exercise Room,0%
2025-02-28 05:45:00,Upper Exercise Room,0%
2025-02-28 05:45:00,Track Exercise Room,4%
2025-02-28 05:45:00,Open Space,0%
2025-02-28 05:45:00,Chandler Lounge,0%
2025-02-28 05:45:00,San Luis Lounge,1%
2025-02-28 06:00:00,Lower Exercise Room,0%
2025-02-28 06:00:00,Upper Exercise Room,0%
2025-02-28 06:00:00,Track Exercise Room,9%
2025-02-28 06:00:00,Open Space,1%
2025-02-28 06:00:00,Chandler Lounge,0%
2025-02-28 06:00:00,San Luis Lounge,0%
2025-02-28 06:15:00,Lower Exercise Room,14%
2025-02-28 06:15:00,Upper Exercise Room,17%
2025-02-28 06:15:00,Track Exercise Room,16%
2025-02-28 06:15:00,Open Space,1%
2025-02-28 06:15:00,Chandler Lounge,0%
2025-02-28 06:15:00,San Luis Lounge,1%
2025-02-28 06:30:00,Lower Exercise Room,33%
2025-02-28 06:30:00,Upper Exercise Room,28%
2025-02-28 06:30:00,Track Exercise Room,47%
2025-02-28 06:30:00,Open Space,3%
2025-02-28 06:30:00,Chandler Lounge,0%
2025-02-28 06:30:00,San Luis Lounge,3%
2025-02-28 06:45:00,Lower Exercise Room,27%
2025-02-28 06:45:00,Upper Exercise Room,33%
2025-02-28 06:45:00,Track Exercise Room,56%
2025-02-28 06:45:00,Open Space,2%
2025-02-28 06:45:00,Chandler Lounge,0%
2025-02-28 06:45:00,San Luis Lounge,3%
2025-02-28 07:00:00,Lower Exercise Room,22%
2025-02-28 07:00:00,Upper Exercise Room,36%
2025-02-28 07:00:00,Track Exercise Room,67%
2025-02-28 07:00:00,Open Space,3%
2025-02-28 07:00:00,Chandler Lounge,3%
2025-02-28 07:00:00,San Luis Lounge,1%
2025-02-28 07:15:00,Lower Exercise Room,26%
2025-02-28 07:15:00,Upper Exercise Room,36%
2025-02-28 07:15:00,Track Exercise Room,53%
2025-02-28 07:15:00,Open Space,3%
2025-02-28 07:15:00,Chandler Lounge,0%
2025-02-28 07:15:00,San Luis Lounge,0%
2025-02-28 07:30:00,Lower Exercise Room,22%
2025-02-28 07:30:00,Upper Exercise Room,47%
2025-02-28 07:30:00,Track Exercise Room,56%
2025-02-28 07:30:00,Open Space,4%
2025-02-28 07:30:00,Chandler Lounge,3%
2025-02-28 07:30:00,San Luis Lounge,3%
2025-02-28 07:45:00,Lower Exercise Room,27%
2025-02-28 07:45:00,Upper Exercise Room,61%
2025-02-28 07:45:00,Track Exercise Room,51%
2025-02-28 07:45:00,Open Space,5%
2025-02-28 07:45:00,Chandler Lounge,3%
2025-02-28 07:45:00,San Luis Lounge,3%
2025-02-28 08:00:00,Lower Exercise Room,33%
2025-02-28 08:00:00,Upper Exercise Room,58%
2025-02-28 08:00:00,Track Exercise Room,53%
2025-02-28 08:00:00,Open Space,6%
2025-02-28 08:00:00,Chandler Lounge,7%
2025-02-28 08:00:00,San Luis Lounge,3%
2025-02-28 08:45:00,Lower Exercise Room,26%
2025-02-28 08:45:00,Upper Exercise Room,70%
2025-02-28 08:45:00,Track Exercise Room,76%
2025-02-28 08:45:00,Open Space,9%
2025-02-28 08:45:00,Chandler Lounge,7%
2025-02-28 08:45:00,San Luis Lounge,4%
2025-02-28 09:00:00,Lower Exercise Room,29%
2025-02-28 09:00:00,Upper Exercise Room,54%
2025-02-28 09:00:00,Track Exercise Room,80%
2025-02-28 09:00:00,Open Space,12%
2025-02-28 09:00:00,Chandler Lounge,13%
2025-02-28 09:00:00,San Luis Lounge,4%
2025-02-28 09:30:00,Lower Exercise Room,40%
2025-02-28 09:30:00,Upper Exercise Room,78%
2025-02-28 09:30:00,Track Exercise Room,94%
2025-02-28 09:30:00,Open Space,15%
2025-02-28 09:30:00,Chandler Lounge,17%
2025-02-28 09:30:00,San Luis Lounge,8%
2025-02-28 10:00:00,Lower Exercise Room,45%
2025-02-28 10:00:00,Upper Exercise Room,80%
2025-02-28 10:00:00,Track Exercise Room,94%
2025-02-28 10:00:00,Open Space,16%
2025-02-28 10:00:00,Chandler Lounge,30%
2025-02-28 10:00:00,San Luis Lounge,11%
2025-02-28 10:15:00,Lower Exercise Room,44%
2025-02-28 10:15:00,Upper Exercise Room,92%
2025-02-28 10:15:00,Track Exercise Room,94%
2025-02-28 10:15:00,Open Space,20%
2025-02-28 10:15:00,Chandler Lounge,30%
2025-02-28 10:15:00,San Luis Lounge,15%
2025-02-28 10:30:00,Lower Exercise Room,40%
2025-02-28 10:30:00,Upper Exercise Room,94%
2025-02-28 10:30:00,Track Exercise Room,91%
2025-02-28 10:30:00,Open Space,25%
2025-02-28 10:30:00,Chandler Lounge,53%
2025-02-28 10:30:00,San Luis Lounge,19%
2025-02-28 10:45:00,Lower Exercise Room,59%
2025-02-28 10:45:00,Upper Exercise Room,94%
2025-02-28 10:45:00,Track Exercise Room,94%
2025-02-28 10:45:00,Open Space,31%
2025-02-28 10:45:00,Chandler Lounge,57%
2025-02-28 10:45:00,San Luis Lounge,16%
2025-02-28 11:00:00,Lower Exercise Room,65%
2025-02-28 11:00:00,Upper Exercise Room,94%
2025-02-28 11:00:00,Track Exercise Room,94%
2025-02-28 11:00:00,Open Space,36%
2025-02-28 11:00:00,Chandler Lounge,47%
2025-02-28 11:00:00,San Luis Lounge,18%
2025-02-28 11:15:00,Lower Exercise Room,49%
2025-02-28 11:15:00,Upper Exercise Room,92%
2025-02-28 11:15:00,Track Exercise Room,94%
2025-02-28 11:15:00,Open Space,34%
2025-02-28 11:15:00,Chandler Lounge,40%
2025-02-28 11:15:00,San Luis Lounge,20%
2025-02-28 11:30:00,Lower Exercise Room,53%
2025-02-28 11:30:00,Upper Exercise Room,94%
2025-02-28 11:30:00,Track Exercise Room,94%
2025-02-28 11:30:00,Open Space,42%
2025-02-28 11:30:00,Chandler Lounge,53%
2025-02-28 11:30:00,San Luis Lounge,24%
2025-02-28 12:00:00,Lower Exercise Room,69%
2025-02-28 12:00:00,Upper Exercise Room,78%
2025-02-28 12:00:00,Track Exercise Room,94%
2025-02-28 12:00:00,Open Space,43%
2025-02-28 12:00:00,Chandler Lounge,43%
2025-02-28 12:00:00,San Luis Lounge,29%
2025-02-28 12:15:00,Lower Exercise Room,51%
2025-02-28 12:15:00,Upper Exercise Room,94%
2025-02-28 12:15:00,Track Exercise Room,94%
2025-02-28 12:15:00,Open Space,42%
2025-02-28 12:15:00,Chandler Lounge,33%
2025-02-28 12:15:00,San Luis Lounge,25%
2025-02-28 12:30:00,Lower Exercise Room,74%
2025-02-28 12:30:00,Upper Exercise Room,94%
2025-02-28 12:30:00,Track Exercise Room,94%
2025-02-28 12:30:00,Open Space,46%
2025-02-28 12:30:00,Chandler Lounge,43%
2025-02-28 12:30:00,San Luis Lounge,28%
2025-02-28 12:45:00,Lower Exercise Room,71%
2025-02-28 12:45:00,Upper Exercise Room,94%
2025-02-28 12:45:00,Track Exercise Room,94%
2025-02-28 12:45:00,Open Space,42%
2025-02-28 12:45:00,Chandler Lounge,15%
2025-02-28 12:45:00,San Luis Lounge,26%
